Oink(PP),Oink(PP+),Oink(PAR),ZRA,NOCQ
0.055868,0.053882,0.051427,0.0360464,0.0818417
0.173553,0.158476,0.161312,0.0380789,0.0661832
0.167100,0.156212,0.137806,0.0332924,0.0732579
0.221331,0.260625,0.167749,0.0443183,0.0745483
0.087703,0.085773,0.066436,0.0408858,0.0721805
0.173256,0.168162,0.153440,0.0400886,0.0743605
0.164392,0.167662,0.154983,0.0449995,0.0769603
0.120614,0.111144,0.089455,0.0435426,0.0871573
0.105158,0.114150,0.102347,0.0463799,0.0817211
0.107335,0.106315,0.097855,0.0489083,0.0941435
0.114523,0.115663,0.090389,0.0492285,0.095242
0.147123,0.142804,0.116442,0.0538772,0.0896631
0.127498,0.153907,0.111765,0.0546898,0.109461
0.169895,0.147450,0.132009,0.0630124,0.109024
0.154047,0.162329,0.122315,0.0647601,0.105391
0.176627,0.176062,0.125132,0.0711079,0.133813
0.227360,0.221010,0.159120,0.0829308,0.143693
0.222259,0.228525,0.176560,0.0784481,0.162091
0.957063,0.950145,0.667304,0.0756766,0.138321
0.837021,0.801164,0.682729,0.0822096,0.145991
0.885569,0.859524,0.639143,0.083424,0.151787
0.373159,0.389871,0.269986,0.160859,0.249101
0.453856,0.411031,0.367188,0.167441,0.531614
0.457728,0.431398,0.327660,0.152109,0.272907
0.307136,0.342864,0.981035,0.224108,0.38685
0.329476,0.337482,0.340655,0.188247,0.375781
0.373848,0.380556,0.409556,0.236964,0.560216
2.769975,2.863225,1.826774,0.275502,0.886481
2.388211,3.185619,1.874958,0.246267,0.693683
2.328258,3.041255,1.858617,0.252169,0.458
0.897061,0.869015,0.727624,0.317993,0.739025
0.877783,0.922554,0.702733,0.996471,0.920263
0.788899,0.787519,0.591272,0.390819,0.855265
