Oink(PP),Oink(PP+),Oink(PAR),ZRA,NOCQ
1.098926,1.099008,1.177841,0.655804,1.25787
1.145561,1.079147,1.246810,0.647463,1.22494
1.520255,1.420004,1.395434,0.948733,1.30275
3.198252,3.452789,2.639920,1.14044,2.09839
3.198347,3.240784,2.614312,1.17248,2.08093
3.300275,3.327697,2.332442,1.48412,2.31988
1.851732,1.730801,2.475823,1.39313,3.39288
2.260713,3.227814,2.897548,1.90663,3.91109
3.111485,3.060517,3.994462,2.44126,5.40395
21.457954,21.283821,17.222935,3.00537,7.89105
14.923490,14.476576,12.794316,3.65459,6.63223
14.202185,14.655099,12.538823,3.33295,6.50352
25.059154,25.548629,20.580577,3.00762,6.01164
25.536246,25.509800,21.480252,3.66132,7.52277
19.131566,19.100910,16.739730,3.54866,7.43249
19.096622,19.155585,16.815664,3.56497,7.9734
18.874097,19.336335,16.584177,4.40724,TIMEOUT
18.827651,20.491326,17.190471,4.41578,TIMEOUT
6.762435,6.743913,8.380583,5.04986,TIMEOUT
7.974151,7.973436,8.033744,6.05497,TIMEOUT
